network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
stickleback_atton_group_3.adj,9,12,0.6994761904761904,0.6970344342480229,0.4601410934744268,0.4394907372499774
stickleback_atton_group_4.adj,10,12,0.6486496031746032,0.6576295932361644,0.3754232804232804,0.3974468693208713
stickleback_atton_group_5.adj,10,13,0.7012239417989418,0.6826743328044689,0.5221428571428571,0.41572697402167386
stickleback_atton_group_6.adj,10,12,0.6604236772486772,0.6576295932361644,0.3633862433862434,0.3974468693208713
stickleback_atton_group_7.adj,9,13,0.7312081128747794,0.7200182849424103,0.446031746031746,0.45949944183940317
guppy_hasenjager_familiar_1.adj,6,7,0.7088888888888887,0.6937041623460647,0.47638888888888886,0.4909648123738426
guppy_hasenjager_familiar_10.adj,6,8,0.7566666666666666,0.7272075313587961,0.5902777777777777,0.5224654002337963
guppy_hasenjager_familiar_2.adj,6,8,0.7352083333333332,0.7272075313587961,0.5902777777777777,0.5224654002337963
guppy_hasenjager_familiar_4.adj,6,8,0.7569444444444444,0.7272075313587961,0.5902777777777777,0.5224654002337963
guppy_hasenjager_familiar_5.adj,6,8,0.7620138888888889,0.7272075313587961,0.5902777777777777,0.5224654002337963
guppy_hasenjager_familiar_6.adj,6,8,0.7493055555555554,0.7272075313587961,0.5902777777777777,0.5224654002337963
guppy_hasenjager_familiar_7.adj,6,8,0.6938333333333333,0.7272075313587961,0.5319444444444444,0.5224654002337963
guppy_hasenjager_familiar_8.adj,6,8,0.7474722222222222,0.7272075313587961,0.5125,0.5224654002337963
guppy_hasenjager_familiar_9.adj,6,7,0.7190277777777777,0.6937041623460647,0.6041666666666665,0.4909648123738426
Weighted_Barn_swallow_contact_network_Levin.adj,17,22,0.6401147044676455,0.6277150115981278,0.37678585031526207,0.32297391069573417
Weighted_Barn_swallow_non_physical_social_interaction_Levin.adj,17,25,0.6798371421606716,0.6729670857571551,0.37515186338715756,0.3515071283656674
weighted_geese_female_foraging.adj,20,29,0.5109640081452774,0.6550112841327044,0.27929657739061764,0.32538446446061114
weighted_geese_male_foraging.adj,22,30,0.5748503895309587,0.6237784012494713,0.3242791961533166,0.29860109621592584
weighted_hens_pecking_order.adj,32,496,0.96875,0.96875,0.96875,0.9687500000000003
weighted_Flock_Season2_Dryad.adj,31,46,0.448186855728144,0.6261107759571777,0.21053359269722888,0.2728630911079928
weighted_Flock_Season3_Dryad.adj,23,34,0.5129138939199981,0.6489131575944692,0.28527134547518823,0.3092386105123029
weighted_sparrow_social_2009.adj,30,44,0.48951230937595924,0.6249623870373798,0.304496404576363,0.2747731136459486
weighted_sparrow_social_2010.adj,36,52,0.3782997872098941,0.6046331219620911,0.1865353266753321,0.2512715974869259
Thornbill_Farine.adj,37,55,0.42006890325139923,0.6133384431623098,0.171910018140106,0.2538025036909617
social_weaver_0.adj,18,28,0.5271376829869476,0.6884772703046949,0.29566642054387154,0.35677634496930444
social_weaver_1.adj,7,12,0.7356190476190476,0.775386717587536,0.5015873015873016,0.5592491930995995
social_weaver_10.adj,16,21,0.541200238997114,0.6401542250182681,0.2905832448801199,0.3371785858788801
social_weaver_11.adj,42,113,0.6788830730481235,0.7953419868419008,0.2830434812914528,0.3765473575428113
social_weaver_12.adj,39,124,0.7111141426812072,0.8343462192433402,0.2779090128370194,0.42592977130595505
social_weaver_13.adj,31,117,0.7124047858566452,0.8721217367107486,0.3550479349051984,0.4996830765715751
social_weaver_14.adj,11,38,0.8707503607503607,0.8796563130197314,0.5963924963924964,0.6655391712270446
social_weaver_15.adj,23,43,0.43899134448418387,0.7281645427582054,0.25377029807522533,0.3634530263149502
social_weaver_17.adj,6,9,0.7297361111111109,0.7544054391099535,0.5319444444444444,0.5534340799043982
social_weaver_18.adj,6,11,0.7709583333333333,0.7934489639549634,0.6097222222222223,0.6235485752603247
social_weaver_19.adj,18,80,0.8978554593554593,0.905252534096193,0.5727761436094769,0.6350997063890331
social_weaver_2.adj,5,10,0.8,0.8,0.8,0.8
social_weaver_20.adj,14,62,0.898376133786848,0.905657716879634,0.6616496598639455,0.6895413765807966
