network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
weighted_group_11.adj,12,12,0.5717566337983003,0.29569905403238733,0.576910304159786,0.33013867308846767
weighted_group_12.adj,6,5,0.5394444444444445,0.4388888888888889,0.6054493709259259,0.4231755398148148
weighted_group_14.adj,7,9,0.7266031746031744,0.5174603174603175,0.7056682323680271,0.4775313468124716
weighted_group_15.adj,6,7,0.6876388888888889,0.46666666666666656,0.6935609656768519,0.49043482767685187
weighted_group_16.adj,6,5,0.6322499999999998,0.46666666666666656,0.6054493709259259,0.4231755398148148
weighted_group_17.adj,9,10,0.7038624338624339,0.46278659611992945,0.6418987771193709,0.39960190831425624
weighted_group_18.adj,10,7,0.45432962962962964,0.3036507936507936,0.4948707481586772,0.30744426041871137
weighted_group_19.adj,11,9,0.5277231623595259,0.31483667847304214,0.5230872412874065,0.31123220034617516
weighted_group_2.adj,5,6,0.7115555555555557,0.4888888888888889,0.7054734814844444,0.5371479814844444
weighted_group_20.adj,13,17,0.6537817737817739,0.3995263995263996,0.6576297547339298,0.3689016041359736
weighted_group_21.adj,7,10,0.7479365079365078,0.6507936507936507,0.7330682891587983,0.5064960232603856
weighted_group_22.adj,5,5,0.6897777777777778,0.5111111111111111,0.6614279923822222,0.48947554438222224
weighted_group_23.adj,20,20,0.5416687270804531,0.2544186634086015,0.5137314080182885,0.25218701733349885
weighted_group_24.adj,9,6,0.44261610817166364,0.330217519106408,0.49584937271604934,0.31674021244091705
weighted_group_25.adj,9,6,0.4410058788947678,0.330217519106408,0.49584937271604934,0.31674021244091705
weighted_group_27.adj,13,12,0.5062736238120854,0.32864799018645174,0.5385789808378989,0.30191124650863843
weighted_group_28.adj,15,14,0.5214227130893798,0.3054927788261122,0.523698738872239,0.28148847264158855
weighted_group_29.adj,11,7,0.38846276619003883,0.2822073549346277,0.45497218117381605,0.28090098057714524
weighted_group_3.adj,20,15,0.3692449336911798,0.1987173390191966,0.41315629164602347,0.2134213436391682
weighted_group_6.adj,6,4,0.5211481481481479,0.4037037037037037,0.5517085250925926,0.38862665342592595
weighted_group_7.adj,13,13,0.6081889961889962,0.3365153365153366,0.5655040178390764,0.31472033134615973
weighted_group_8.adj,15,18,0.6318000888000888,0.3175695909029243,0.6132124720660852,0.32713435198588836
weighted_group_9.adj,12,9,0.4790439113355779,0.2685525893859227,0.4869485769328483,0.2870411350760563
weighted_social_vampire_bats.adj,17,25,0.6760924848571906,0.3508623185093774,0.6729670857571551,0.3515071283656674
weighted_network_roosting_indiana_bat.adj,34,50,0.6177836352843602,0.14255290079075417,0.6159970491549098,0.2610661917023135
weighted_bison_dominance.adj,23,32,0.5673378504344109,0.31767897463877376,0.6263548840704932,0.2959444473885729
weighted_cattle_dominance.adj,23,33,0.6286183222086438,0.3136984384325883,0.637896696867715,0.30265566049882614
weighted_SOCIAL_dolphin_florida.adj,48,71,0.4703853850874354,0.18391651513994128,0.593273120624141,0.22786310358220158
