,0,1,2,3
101,CATH1.adj,84,0.04561101549053356,0.3996512239351952
102,CATH2.adj,42,0.06968641114982578,0.35623000484257455
103,CATH3.adj,40,0.0782051282051282,0.3701790866663216
104,CATH4.adj,64,0.06646825396825397,0.4475740444401154
105,CATH5.adj,53,0.07256894049346879,0.3659760344773786
106,CATH6.adj,77,0.07963089542036911,0.4863085276225564
107,CATH7.adj,42,0.0627177700348432,0.30890063699976383
108,GTNP13-01.adj,12,0.21212121212121213,0.22740349198412713
109,GTNP13-02.adj,28,0.164021164021164,0.44268153243040576
110,GTNP13-03.adj,28,0.1402116402116402,0.4093757837744211
111,GTNP13-04.adj,26,0.13538461538461538,0.3762683975248379
112,GTNP13-05.adj,20,0.1368421052631579,0.26086579526231957
113,GTNP13-06.adj,8,0.32142857142857145,0.1956978340476192
114,GTNP13-07.adj,24,0.16304347826086957,0.38336524565157903
115,GTNP13-09.adj,25,0.13,0.3588726776435744
116,GTNP13-100.adj,24,0.17028985507246377,0.3857077944558183
117,GTNP13-104.adj,13,0.1794871794871795,0.1617181326917529
118,GTNP13-105.adj,17,0.13970588235294118,0.22099747922580712
119,GTNP13-106.adj,10,0.24444444444444444,0.17442520576190493
120,GTNP13-119.adj,21,0.18095238095238095,0.33059237135754393
121,GTNP13-121.adj,34,0.13368983957219252,0.39313615284243086
122,GTNP13-16.adj,27,0.10826210826210826,0.3451470563588111
123,GTNP13-21.adj,22,0.16017316017316016,0.38647890368529525
124,GTNP13-22.adj,12,0.25757575757575757,0.18696952832010597
125,GTNP13-23.adj,13,0.23076923076923078,0.2606683626762128
126,GTNP13-24.adj,24,0.14855072463768115,0.36592604238883136
127,GTNP13-25.adj,27,0.19943019943019943,0.4192886664665818
128,GTNP13-26.adj,19,0.17543859649122806,0.3233776148370379
129,GTNP13-34.adj,28,0.15608465608465608,0.4124357809301455
130,GTNP13-35.adj,24,0.213768115942029,0.35989665553638095
131,GTNP13-36.adj,29,0.11576354679802955,0.33500144430733947
132,GTNP13-37.adj,26,0.17846153846153845,0.47195795138273433
133,GTNP13-38.adj,29,0.16748768472906403,0.4127378641392477
134,GTNP13-39.adj,20,0.2,0.34095445578566225
135,GTNP13-41.adj,13,0.19230769230769232,0.1944429081152181
136,GTNP13-42.adj,25,0.12666666666666668,0.2755125843221498
137,GTNP13-43.adj,24,0.12681159420289856,0.26377442293506564
138,GTNP13-45.adj,23,0.15810276679841898,0.2956718735723981
139,GTNP13-46.adj,13,0.16666666666666666,0.1457155604539906
140,GTNP13-69.adj,22,0.18181818181818182,0.294395773147818
141,GTNP13-70.adj,18,0.1437908496732026,0.3033213401864441
142,GTNP13-72.adj,26,0.16307692307692306,0.4197160344134059
143,GTNP13-99.adj,13,0.2692307692307692,0.33253576136308144
144,SMMJAN13TRK1.adj,18,0.3333333333333333,0.2798869565678766
145,SMMJAN13TRK10.adj,14,0.2967032967032967,0.36547302877138726
146,SMMJAN13TRK6.adj,16,0.20833333333333334,0.2805454201554001
147,SMMJAN13TRK8.adj,9,0.25,0.199358023862434
148,SMMJAN13TRK9.adj,26,0.20307692307692307,0.3600648714045271
149,TRK03-4-12.adj,8,0.35714285714285715,0.1925788033333335
150,TRK06-2-12_Triple.adj,15,0.2761904761904762,0.2901511891366413
151,TRK07-4-12.adj,6,0.4,0.201719501111111
152,TRK08-12_Triple.adj,9,0.4166666666666667,0.32791416423280434
153,TRK08-2-12_Triple.adj,8,0.4642857142857143,0.23368992083333345
154,TRK08-4-12.adj,16,0.35,0.3438051896606868
155,TRK09-2-12_Triple.adj,16,0.24166666666666667,0.4049144654263099
156,TRK09-4-12.adj,17,0.22058823529411764,0.3440425570283966
157,TRK10-12_Triple.adj,2,1.0,0.0
158,TRK10-2-12_Triple.adj,18,0.20261437908496732,0.2967559602863188
159,TRK10-4-12.adj,12,0.2878787878787879,0.27316138523088035
160,TRK11-12_Triple.adj,19,0.16374269005847952,0.31409777299124686
161,TRK11-2-12_Triple.adj,12,0.2727272727272727,0.31706882106421364
